"concept","code","name","level","parent"
"coicop18","CP07223","Other fuels for personal transport equipment (ND)",5,"CP0722"
"coicop18","CP07224","Lubricants (ND)",5,"CP0722"
"coicop18","CP0723","Maintenance and repair of personal transport equipment (S)",4,"CP072"
"coicop18","CP07230","Maintenance and repair of personal transport equipment (S)",5,"CP0723"
"coicop18","CP0724","Other services related to personal transport equipment (S)",4,"CP072"
"coicop18","CP07241","Parking services (S)",5,"CP0724"
"coicop18","CP07242","Toll facilities (S)",5,"CP0724"
"coicop18","CP07243","Driving lessons, tests, licences and roadworthiness tests (S)",5,"CP0724"
"coicop18","CP07244","Hire of personal transport equipment without driver (S)",5,"CP0724"
"coicop18","CP073","Passenger transport services",3,"CP07"
"coicop18","CP0731","Passenger transport by railway (S)",4,"CP073"
"coicop18","CP07311","Passenger transport by train (S)",5,"CP0731"
"coicop18","CP07312","Passenger transport by rapid transit and tram (S)",5,"CP0731"
"coicop18","CP0732","Passenger transport by road (S)",4,"CP073"
"coicop18","CP07321","Passenger transport by bus and coach (S)",5,"CP0732"
"coicop18","CP07322","Passenger transport by taxi and hired vehicle with driver (S)",5,"CP0732"
"coicop18","CP07323","Passenger transport for students to and from school (S)",5,"CP0732"
"coicop18","CP07329","Other passenger transport by road (S)",5,"CP0732"
"coicop18","CP0733","Passenger transport by air (S)",4,"CP073"
"coicop18","CP07331","Passenger transport by air, domestic (S)",5,"CP0733"
"coicop18","CP07332","Passenger transport by air, international (S)",5,"CP0733"
"coicop18","CP0734","Passenger transport by sea and inland waterway (S)",4,"CP073"
"coicop18","CP07340","Passenger transport by sea and inland waterway (S)",5,"CP0734"
"coicop18","CP0735","Combined passenger transport (S)",4,"CP073"
"coicop18","CP07350","Combined passenger transport (S)",5,"CP0735"
"coicop18","CP0736","Other passenger transport services (S)",4,"CP073"
"coicop18","CP07360","Other passenger transport services (S)",5,"CP0736"
"coicop18","CP074","Transport services for goods",3,"CP07"
"coicop18","CP0741","Postal and courier services (S)",4,"CP074"
"coicop18","CP07411","Letter handling services (S)",5,"CP0741"
"coicop18","CP07412","Courier and parcel delivery services (S)",5,"CP0741"
"coicop18","CP0749","Other transport of goods (S)",4,"CP074"
"coicop18","CP07491","Removal and storage services (S)",5,"CP0749"
"coicop18","CP07492","Delivery of goods (S)",5,"CP0749"
"coicop18","CP08","Information and communication",2,"TOTAL"
"coicop18","CP081","Information and communication equipment",3,"CP08"
"coicop18","CP0811","Fixed telephone equipment (D)",4,"CP081"
"coicop18","CP08110","Fixed telephone equipment (D)",5,"CP0811"
"coicop18","CP0812","Mobile telephone equipment (D)",4,"CP081"
"coicop18","CP08120","Mobile telephone equipment (D)",5,"CP0812"
"coicop18","CP0813","Information processing equipment (D)",4,"CP081"
"coicop18","CP08131","Computers, laptops and tablets (D)",5,"CP0813"
"coicop18","CP08132","Peripheral equipment and its consumable components (D)",5,"CP0813"
"coicop18","CP0814","Equipment for the reception, recording and reproduction of sound and vision (D)",4,"CP081"
"coicop18","CP08140","Equipment for the reception, recording and reproduction of sound and vision (D)",5,"CP0814"
"coicop18","CP0815","Unrecorded recording media (SD)",4,"CP081"
"coicop18","CP08150","Unrecorded recording media (SD)",5,"CP0815"
"coicop18","CP0819","Other information and communication equipment and accessories (D)",4,"CP081"
"coicop18","CP08191","Other information and communication equipment (D)",5,"CP0819"
"coicop18","CP08192","Other information and communication accessories (SD)",5,"CP0819"
"coicop18","CP082","Software, excluding games",3,"CP08"
"coicop18","CP0820","Software, excluding games (S)",4,"CP082"
"coicop18","CP08200","Software, excluding games (S)",5,"CP0820"
"coicop18","CP083","Information and communication services",3,"CP08"
"coicop18","CP0831","Fixed communication services (S)",4,"CP083"
"coicop18","CP08310","Fixed communication services (S)",5,"CP0831"
"coicop18","CP0832","Mobile communication services (S)",4,"CP083"
"coicop18","CP08320","Mobile communication services (S)",5,"CP0832"
"coicop18","CP0833","Internet access provision services and online storage services (S)",4,"CP083"
"coicop18","CP08330","Internet access provision services and online storage services (S)",5,"CP0833"
"coicop18","CP0834","Bundled telecommunication services (S)",4,"CP083"
"coicop18","CP08340","Bundled telecommunication services (S)",5,"CP0834"
"coicop18","CP0835","Repair and rental of information and communication equipment (S)",4,"CP083"
"coicop18","CP08350","Repair and rental of information and communication equipment (S)",5,"CP0835"
"coicop18","CP0839","Other information and communication services (S)",4,"CP083"
"coicop18","CP08391","Television and radio licences and fees (S)",5,"CP0839"
"coicop18","CP08392","Subscriptions to audiovisual streaming services and rental of audiovisual content (S)",5,"CP0839"
"coicop18","CP08399","Other information and communication services n.e.c. (S)",5,"CP0839"
"coicop18","CP09","Recreation, sport and culture",2,"TOTAL"
"coicop18","CP091","Recreational durables",3,"CP09"
"coicop18","CP0911","Photographic and cinematographic equipment and optical instruments (D)",4,"CP091"
"coicop18","CP09111","Cameras (D)",5,"CP0911"
"coicop18","CP09112","Accessories for photographic and cinematographic equipment (D)",5,"CP0911"
"coicop18","CP09113","Optical instruments (D)",5,"CP0911"
"coicop18","CP0912","Major recreational durables (D)",4,"CP091"
"coicop18","CP09121","Camper vans, caravans and trailers (D)",5,"CP0912"
"coicop18","CP09122","Aeroplanes, microlight aircraft, gliders, hang gliders and hot-air balloons (D)",5,"CP0912"
"coicop18","CP09123","Boats, yachts, outboard motors and other water-sport equipment (D)",5,"CP0912"
"coicop18","CP09124","Horses, ponies, camels and dromedaries and accessories (D)",5,"CP0912"
"coicop18","CP09129","Other major recreational durables (D)",5,"CP0912"
"coicop18","CP092","Other recreational goods",3,"CP09"
"coicop18","CP0921","Games, toys and hobby-related articles (SD)",4,"CP092"
"coicop18","CP09211","Video game computers, consoles, game applications and software (SD)",5,"CP0921"
"coicop18","CP09212","Other games, toys and hobby-related articles (SD)",5,"CP0921"
"coicop18","CP09213","Celebration articles (ND)",5,"CP0921"
"coicop18","CP0922","Sporting, camping and open-air recreation equipment (SD)",4,"CP092"
"coicop18","CP09221","Sporting equipment (SD)",5,"CP0922"
"coicop18","CP09222","Camping and open-air recreation equipment (SD)",5,"CP0922"
"coicop18","CP093","Garden products and pets",3,"CP09"
"coicop18","CP0931","Garden products, plants and flowers (ND)",4,"CP093"
"coicop18","CP09311","Garden products (ND)",5,"CP0931"
"coicop18","CP09312","Plants, seeds and flowers (ND)",5,"CP0931"
"coicop18","CP0932","Pets and pet products (D)",4,"CP093"
"coicop18","CP09321","Pets (D)",5,"CP0932"
"coicop18","CP09322","Products for pets and other household animals (ND)",5,"CP0932"
"coicop18","CP094","Recreational services",3,"CP09"
"coicop18","CP0941","Hire and repair of photographic and cinematographic equipment and optical instruments (S)",4,"CP094"
"coicop18","CP09410","Hire and repair of photographic and cinematographic equipment and optical instruments (S)",5,"CP0941"
"coicop18","CP0942","Hire, maintenance and repair of major recreational durables (S)",4,"CP094"
"coicop18","CP09421","Hire, maintenance and repair of camper vans and caravans (S)",5,"CP0942"
"coicop18","CP09422","Hire, maintenance and repair of other major recreational durables (S)",5,"CP0942"
"coicop18","CP0943","Hire and repair of games, toys and hobby-related articles (S)",4,"CP094"
"coicop18","CP09431","Hire of game software and subscription to online games (S)",5,"CP0943"
"coicop18","CP09432","Hire and repair of other games, toys and hobby-related articles (S)",5,"CP0943"
"coicop18","CP0944","Hire and repair of sporting, camping and open-air recreational equipment (S)",4,"CP094"
"coicop18","CP09440","Hire and repair of sporting, camping and open-air recreational equipment (S)",5,"CP0944"
"coicop18","CP0945","Veterinary and other services for pets (S)",4,"CP094"
